"";"X.RATING_3";"X.RATING_4"
"unico";0,3783;-0,3783
"bucatino";-7,2075;7,2075
"presente";1,0223;-1,0223
"riso";-0,5832;0,5832
"famoso";-0,5706;0,5706
"chef";-2,1488;2,1488
"sicuro";0,4129;-0,4129
"sugo";0,2497;-0,2497
"lode";0,2727;-0,2727
"raffinato";-3,8663;3,8663
"resto";-0,7268;0,7268
"verdura";-1,2956;1,2956
"attento";-3,4247;3,4247
"negativo";1,0554;-1,0554
"lungo";0,8455;-0,8455
"gusto";3,8803;-3,8803
"salmone";-2,026;2,026
"pizza";4,7879;-4,7879
"caldo";-0,5996;0,5996
"pecca";-0,5939;0,5939
"cacciatora";-1,2841;1,2841
"giusto";-2,0024;2,0024
"tavola|tavolo";0,3819;-0,3819
"cibo";-0,487;0,487
"trippa";0,4868;-0,4868
"piacevole";-0,3415;0,3415
"sabato";2,9648;-2,9648
"cicoria";0,2727;-0,2727
"nuovo";0,8455;-0,8455
"aspetto";1,4461;-1,4461
"carbonaro";5,6826;-5,6826
"dettaglio";-0,3146;0,3146
"vicino";-0,3858;0,3858
"bimbo";1,209;-1,209
"menu";-0,6416;0,6416
"sottile";3,0525;-3,0525
"bar";-1,1917;1,1917
"bottiglia";2,1178;-2,1178
"ordine";1,2259;-1,2259
"ragazzo";-0,5354;0,5354
"menù";-0,4255;0,4255
"consiglio";-0,5452;0,5452
"caffè";0,6597;-0,6597
"piccolo";-1,2967;1,2967
"pezzo";0,2727;-0,2727
"sapore";-1,2719;1,2719
"coda";0,6031;-0,6031
"cono";4,4721;-4,4721
"bello";-0,7431;0,7431
"sconto";-0,5684;0,5684
"gambero";0,6597;-0,6597
"economico";0,3192;-0,3192
"passato";0,3065;-0,3065
"serata";0,5262;-0,5262
"coppia";-0,2513;0,2513
"prodotto";-1,8399;1,8399
"scoperta";-0,5682;0,5682
"cucina";-1,8266;1,8266
"migliore";-0,8422;0,8422
"accogliente";-3,794;3,794
"alice";0,2879;-0,2879
"eccellente";-1,0662;1,0662
"fisso";0,5311;-0,5311
"lista";-0,2957;0,2957
"carta";-1,6004;1,6004
"centro";-0,7424;0,7424
"numero";-0,5682;0,5682
"super";-0,7388;0,7388
"bagno";0,3819;-0,3819
"fila|filo";4,0072;-4,0072
"particolare";0,7334;-0,7334
"ripieno";-1,9082;1,9082
"versione";-0,4232;0,4232
"avviso";0,2727;-0,2727
"tonno";-0,3146;0,3146
"moderno";-1,3425;1,3425
"vista";0,3366;-0,3366
"complimento";-0,8367;0,8367
"tappa";0,2879;-0,2879
"acqua";1,873;-1,873
"signore";-0,7118;0,7118
"distanza";-0,4232;0,4232
"cottura";1,209;-1,209
"torno";0,7973;-0,7973
"proposta";-0,7155;0,7155
"minuto";1,0969;-1,0969
"speciale";-0,4456;0,4456
"forno";-0,7127;0,7127
"maggiore";0,4868;-0,4868
"posto";-0,3115;0,3115
"discreto";-0,4847;0,4847
"caratteristico";-0,2681;0,2681
"dolce";0,4303;-0,4303
"cassa";2,4323;-2,4323
"pessimo";1,29;-1,29
"bevanda";0,3366;-0,3366
"accoglienza";-2,2468;2,2468
"alto";-0,4773;0,4773
"aperitivo";-2,3396;2,3396
"enorme";2,3463;-2,3463
"italiano";1,6616;-1,6616
"ampio";0,5024;-0,5024
"positivo";0,9581;-0,9581
"sala|sale";0,2598;-0,2598
"pietanza";0,3804;-0,3804
"piano";0,8918;-0,8918
"can";3,9339;-3,9339
"nastro";-6,177;6,177
"prenotazione";-1,2572;1,2572
"domenica";2,5012;-2,5012
"guanciale";1,0957;-1,0957
"cocktail";-0,3243;0,3243
"informale";0,5311;-0,5311
"stile";0,9429;-0,9429
"particolarmente";0,2879;-0,2879
"sorriso";1,0221;-1,0221
"possibilità";0,4226;-0,4226
"olio";-0,2121;0,2121
"squisito";-1,2572;1,2572
"simpatico";1,7115;-1,7115
"giro";0,7973;-0,7973
"formula";0,7865;-0,7865
"pizzeria";5,4866;-5,4866
"settimana";0,2879;-0,2879
"romano";1,2522;-1,2522
"caro";-1,0564;1,0564
"superiore";0,736;-0,736
"cordialità";0,5894;-0,5894
"basso";3,2865;-3,2865
"insalata";0,4129;-0,4129
"gentilezza";0,4226;-0,4226
"esigenza";-1,5368;1,5368
"grande";1,6968;-1,6968
"pulizia";0,4129;-0,4129
"sera";0,8556;-0,8556
"sublime";-0,9308;0,9308
"cameriere";2,0652;-2,0652
"facile";0,736;-0,736
"noto";0,3525;-0,3525
"paio";0,8918;-0,8918
"vivamente";-0,3465;0,3465
"buffet";2,4655;-2,4655
"vasto";0,667;-0,667
"sala";0,3301;-0,3301
"bicchiere";0,6015;-0,6015
"crudo";0,3366;-0,3366
"romanesco";-0,2121;0,2121
"primo";0,3226;-0,3226
"cioccolato";1,1975;-1,1975
"cordiale";-2,1791;2,1791
"ricco";-1,3204;1,3204
"collega";1,4023;-1,4023
"originale";-0,5741;0,5741
"punto";0,5432;-0,5432
"ambiente";-1,7186;1,7186
"disponibile";-0,636;0,636
"storico";1,1474;-1,1474
"minimo";0,736;-0,736
"carino";1,4585;-1,4585
"disponibilità";-0,2957;0,2957
"casa";-0,2931;0,2931
"pollo";-0,5109;0,5109
"soldo";1,0221;-1,0221
"parmigiano";-0,298;0,298
"cura";0,8561;-0,8561
"porzione";1,8339;-1,8339
"carciofo";-0,6011;0,6011
"sedia";-0,5741;0,5741
"persona";0,3301;-0,3301
"costo";-0,298;0,298
"intimo";-2,6276;2,6276
"leggermente";-0,9308;0,9308
"personale";-1,0437;1,0437
"simpatia";-0,4658;0,4658
"scelta";0,3751;-0,3751
"aspettativa";-1,0133;1,0133
"abbacchio";-0,6054;0,6054
"quartiere";-1,5765;1,5765
"proprio";0,2676;-0,2676
"rapporto";0,5697;-0,5697
"passione";-3,4302;3,4302
"secondo";-0,7945;0,7945
"panna";1,9429;-1,9429
"visita";-1,8005;1,8005
"problema";1,0459;-1,0459
"completo";1,0221;-1,0221
"autentico";0,5894;-0,5894
"cena";-3,6706;3,6706
"freddo";0,7149;-0,7149
"richiesta";0,4868;-0,4868
"salato";1,9613;-1,9613
"buonissimo";0,5343;-0,5343
"preparazione";-0,4347;0,4347
"rapido";1,0221;-1,0221
"efficiente";0,3819;-0,3819
"trattoria";4,7707;-4,7707
"sorridente";-0,2957;0,2957
"vero";-3,0152;3,0152
"fatto";1,7641;-1,7641
"leggero";0,4129;-0,4129
"fortuna";0,3572;-0,3572
"fritto";0,7865;-0,7865
"conto";-0,285;0,285
"tranquillo";-2,026;2,026
"stella";-0,4347;0,4347
"perfetto";-2,5135;2,5135
"via";2,3219;-2,3219
"servizio";-0,2891;0,2891
"turista";0,4129;-0,4129
"pesce";-1,5236;1,5236
"cortese";0,2754;-0,2754
"meraviglioso";-3,2384;3,2384
"bambino";0,729;-0,729
"medio";0,6518;-0,6518
"bocca";-0,5684;0,5684
"pepe";0,9462;-0,9462
"personalmente";0,2598;-0,2598
"giapponese";-9,4475;9,4475
"pane";-0,7155;0,7155
"pronto";-1,7908;1,7908
"pesante";0,3065;-0,3065
"pena";1,0123;-1,0123
"vecchio";0,4868;-0,4868
"delizioso";-0,9778;0,9778
"tartufo";-2,0709;2,0709
"zabaione";0,8918;-0,8918
"giovane";-0,3314;0,3314
"occasione";0,4226;-0,4226
"idea";-0,2681;0,2681
"pecorino";-2,2674;2,2674
"buono";1,7332;-1,7332
"piatto";-2,4721;2,4721
"base";-1,5627;1,5627
"veloce";1,8794;-1,8794
"proprietario";-3,3602;3,3602
"elegante";-1,7908;1,7908
"bravo";-0,5192;0,5192
"impeccabile";-0,4847;0,4847
"norma";0,8561;-0,8561
"moglie";-0,7424;0,7424
"musico";0,3065;-0,3065
"insieme";0,4129;-0,4129
"occhio";-0,5682;0,5682
"tovaglia";1,4019;-1,4019
"livello";-0,8503;0,8503
"pieno";-0,2992;0,2992
"birra";0,3279;-0,3279
"spartano";2,6298;-2,6298
"gradevole";0,3366;-0,3366
"fresco";-0,321;0,321
"cinese";2,9648;-2,9648
"polpetta";-0,6355;0,6355
"certo";0,517;-0,517
"carne";4,5214;-4,5214
"amico";0,7505;-0,7505
"vino";-3,5694;3,5694
"locale";1,4991;-1,4991
"fontana";-4,46;4,46
"professionalità";-0,858;0,858
"crema";0,3981;-0,3981
"solo";0,6504;-0,6504
"interessante";0,3572;-0,3572
"melanzana";-0,2957;0,2957
"quantità";-0,6054;0,6054
"supplì";-3,3602;3,3602
"tradizionale";0,7334;-0,7334
"esperienza";-0,7522;0,7522
"giorno";0,3349;-0,3349
"euro";0,5106;-0,5106
"normale";1,886;-1,886
"interno";-0,3115;0,3115
"testa";0,6194;-0,6194
"zuppa";0,6597;-0,6597
"presentazione";-2,6198;2,6198
"difficile";0,2908;-0,2908
"rigatone";0,7397;-0,7397
"pomodoro";1,6001;-1,6001
"cortesia";-1,702;1,702
"anno";2,796;-2,796
"classico";0,3828;-0,3828
"massimo";1,5841;-1,5841
"tradizione";-0,6158;0,6158
"semplice";-0,4085;0,4085
"diverso";0,32;-0,32
"materia";-3,5456;3,5456
"morbido";-1,1917;1,1917
"compagnia";0,4129;-0,4129
"coratella";0,4129;-0,4129
"bianco";-0,2836;0,2836
"prossimo";-0,2121;0,2121
"ordinazione";1,0957;-1,0957
"contorno";0,667;-0,667
"onesto";-1,4339;1,4339
"dessert";-1,1917;1,1917
"tavolo";0,8061;-0,8061
"spazio";0,5551;-0,5551
"condimento";0,4868;-0,4868
"scarso";1,29;-1,29
"bontà";-1,702;1,702
"cliente";0,3177;-0,3177
"ristorante";-3,0661;3,0661
"tipico";0,3258;-0,3258
"specialità";-3,8663;3,8663
"ingresso";0,4868;-0,4868
"prezzo";0,4153;-0,4153
"zona";3,4575;-3,4575
"professionale";-0,6054;0,6054
"attenzione";-1,0321;1,0321
"solito";-0,2328;0,2328
"possibile";0,3981;-0,3981
"ottimo";-1,603;1,603
"linea";-0,7205;0,7205
"top";-2,1856;2,1856
"oggi";0,8918;-0,8918
"salso";-0,3146;0,3146
"cacio";0,6912;-0,6912
"spettacolare";-0,7155;0,7155
"atmosfera";-4,0921;4,0921
"osteria";-0,3243;0,3243
"arredamento";0,4226;-0,4226
"peccato";1,9417;-1,9417
"assoluto";-0,4232;0,4232
"tempo";0,3463;-0,3463
"delusione";2,3463;-2,3463
"parcheggio";0,5311;-0,5311
"complesso";0,545;-0,545
"sorpresa";-0,5706;0,5706
"gentile";0,3819;-0,3819
"attesa";1,8851;-1,8851
"fantastico";0,3981;-0,3981
"qualità";-2,1286;2,1286
"degno";-1,1917;1,1917
"cuore";0,3981;-0,3981
"compleanno";-0,3605;0,3605
"garanzia";-0,3146;0,3146
"passo";-0,7205;0,7205
"staff";0,6597;-0,6597
"offerta";0,7248;-0,7248
"antico";0,3065;-0,3065
"ragazza|ragazzo";0,3771;-0,3771
"patata";-0,6173;0,6173
"scontrino";1,0221;-1,0221
"grazia";-1,4881;1,4881
"pranzo";-0,3089;0,3089
"altezza";-0,2328;0,2328
"drink";0,3192;-0,3192
"gustoso";-2,7441;2,7441
"antipasto";-0,2956;0,2956
"momento";0,736;-0,736
"abbondante";0,5102;-0,5102
"ingrediente";-0,5109;0,5109
"fata";-1,0883;1,0883
"turistico";-1,3425;1,3425
"titolare";-2,0709;2,0709
"spazioso";1,6601;-1,6601
"piattino";-4,8033;4,8033
"anticipo";-1,7908;1,7908
"fettuccina";-0,9717;0,9717
"famiglia";0,4575;-0,4575
"sicuramente";0,3353;-0,3353
"croccante";-0,298;0,298
"pasta";3,7231;-3,7231
"dubbio";1,0221;-1,0221
"strepitoso";-3,8663;3,8663
"gruppo";0,2487;-0,2487
"varietà";0,4575;-0,4575
"ricordo";-1,4221;1,4221
"ultimo";0,485;-0,485
"gelato";13,7323;-13,7323
"misto";-0,9717;0,9717
"formaggio";-0,2121;0,2121
"eccezionale";0,2602;-0,2602
"parola";-0,2513;0,2513
