unico	78
bucatino	21
presente	26
sfuso	3
assurdo	3
riso	20
porto	6
impossibile	5
chiusura	7
clientela	9
famoso	14
sbalorditivo	4
chef	20
sicuro	11
errore	3
sugo	31
lode	14
ospite	6
raffinato	15
mozzarella	4
illimitato	6
amante	3
resto	35
generale	4
vitello	3
dozzinale	4
verdura	27
sole|solo	7
tavolata	7
attento	50
remo	6
negativo	13
consistenza	6
stupore	3
chiave	4
lungo	22
suggestivo	3
soddisfacente	3
commensale	9
estate	6
gusto	105
scottadito	6
spreco	3
confortevole	3
etichetta	4
salmone	17
pizza	134
caldo	26
pecca	24
sede	4
diritto	4
arco	4
manuale	3
fungo	8
oltretutto	3
danno	9
grandioso	3
spina|spino	3
modesto	3
centrale	4
vita	9
garbato	3
triangolo	3
sostanzioso	4
lento	5
cacciatora	16
giusto	53
fluviale	5
puntuale	7
luce	6
tavola|tavolo	13
angolo	8
essenziale	6
colazione	7
riferimento	5
generoso	7
quantomeno	4
cibo	199
standard	8
largo	7
estremamente	7
chiaro	3
cucchiaio	3
grado	6
mancia	5
combinazione	4
sicurezza	3
sensazione	8
sfortunato	5
pomeriggio	3
ragione	3
continuamente	3
trippa	14
piacevole	40
giovanile	3
piccante	3
sabato	23
cicoria	14
posizione	4
mini	3
contento	5
nuovo	22
disgustoso	4
vastità	3
fondo	4
aspetto	21
carbonaro	138
disagio	3
dettaglio	12
cambio	5
vicino	22
questione	3
bimbo	11
effettivamente	5
complessivamente	4
menu	40
celere	5
sottile	16
comodo	7
bar	11
situazione	5
gnocco	4
bottiglia	28
esclusivamente	4
carota	3
confusione	6
ordine	14
granché	3
bancone	6
ragazzo	35
menù	86
yogurt	4
scusa	4
caloroso	3
parente	3
fetta	3
culinario	8
dente	7
consiglio	122
urlo	7
compromesso	4
rumoroso	5
succhio|succo	3
caffè	30
piccolo	52
accostamento	6
spesa	4
assaggio	5
pezzo	14
sinceramente	3
sapore	72
emozione	3
cane	4
apparentemente	3
molliccio	4
stracotto	5
coda	27
cono	17
bello	74
principale	6
sconto	12
gambero	13
cuoco	5
scorso	9
economico	19
responsabile	7
nonna|nonno	5
romanità	4
costoso	4
passato	10
serata	63
coppia	15
prodotto	21
amaro	8
surgelato	4
palesemente	3
presenza	6
mancanza	9
scoperta	10
vuoto	3
focaccia	5
cucina	205
migliore	83
specifico	3
accogliente	84
specie	6
favoloso	9
alice	12
affluenza	4
eccellente	64
fisso	12
lista	10
carta	46
strada	7
fratello	3
centro	11
braccio	3
numero	10
super	41
bisogno	6
ovvio	4
passeggino	4
eccellenza	9
esaustivo	4
bagno	13
martedì	3
fila|filo	35
verde	5
particolare	38
ripieno	14
contenuto	3
versione	11
fermo	6
intero	4
avviso	14
tonno	12
moderno	14
ricetta	7
magnifico	6
porta	8
fortunato	4
conversazione	3
vista	17
complimento	34
tardo	8
arrogante	3
adeguato	5
figlio	6
tappa	12
acqua	35
sbaglio	3
chiuso	3
signore	23
napoletano	9
distanza	11
anniversario	4
letteralmente	5
cottura	11
torno	14
proposta	17
pizzetta	4
bacio	4
caos	5
minuto	24
raviolo	9
speciale	15
forno	19
maggiore	14
posto	23
discreto	23
caratteristico	17
caratteristica	9
dolce	133
elevato	7
tartaro	5
cassa	17
pessimo	20
vongola	4
visciola	4
mela	3
agosto	4
valido	4
particolarità	5
bevanda	17
accoglienza	30
alto	72
menzione	6
percorso	6
ripassata	4
risultato	9
aperitivo	66
freschezza	6
limitato	4
enorme	13
italiano	28
nero	5
degustazione	7
ampio	42
positivo	28
sala|sale	16
certezza	5
pietanza	49
piano	12
perplesso	3
arrivo	7
can	38
privo	5
orientale	6
figura	3
nastro	18
suggerimento	9
prenotazione	31
sakè	4
asciutto	7
domenica	24
composizione	5
puro	5
guanciale	16
cocktail	25
maialino	5
critica	3
data	3
voce	3
piede	7
informale	12
stile	15
lievito	3
ottimamente	5
trattato	4
forma	5
ospitale	3
particolarmente	12
spettacolo	5
compagno	5
sorriso	10
tovagliolo	6
possibilità	18
ristorazione	8
opera	5
olio	11
squisito	31
simpatico	68
giro	14
fastidioso	4
formula	19
pizzeria	26
perfezione	3
vegetariano	8
stretto	4
settimana	12
romano	288
aria	4
caro	17
superiore	11
cordialità	10
basso	28
pazienza	3
americano	7
voto	7
salsa	4
trasportatore	4
soffuso	3
inizialmente	3
insalata	11
gentilezza	18
esigenza	10
grande	78
pulizia	11
sera	61
ignorante	8
sublime	12
favore	4
spalla	5
invadente	9
cameriere	137
facile	11
immangiabile	7
gennaio	5
massa	3
noto	44
incantevole	4
paio	12
vivamente	16
buffet	64
piramide	7
vasto	18
sala	48
bicchiere	15
preciso	4
calice	9
salsiccia	4
direttamente	4
calamaro	3
sorbetto	3
crudo	17
precedente	6
incredibile	9
telefono	6
mesa|mese	8
cattivo	5
bavaglino	3
romanesco	11
genere	6
teatro	4
mousse	4
mondo	6
abbraccio	3
continuazione	3
primo	240
cioccolato	30
giornata	6
cipolla	3
cordiale	41
ricco	25
coccio	7
punta	5
impressione	5
collega	15
familiare	4
singolo	4
sufficiente	4
originale	16
orario	7
plauso	5
quadro	5
agnello	3
anonimo	4
punto	31
inutile	4
ambiente	76
disponibile	63
storico	27
chiacchiera	3
mano	9
parere	5
tagliolino	5
minimo	11
sfizioso	8
mare	4
mensa	8
carino	68
arte	7
disponibilità	10
rustico	7
insalatiera	3
breve	4
bufalo	8
casa	63
coca	3
pollo	29
baccalà	8
soldo	10
brutto	5
parmigiano	21
cura	17
adulto	7
fama	5
utile	3
fame	8
porzione	64
evento	6
polpo	9
arredo	3
carciofo	91
sedia	16
sintesi	3
incontro	3
insapore|insaporo	8
persona	48
esperto	4
eleganza	4
novità	3
delicato	5
disposizione	7
assenza	3
costo	21
superbo	6
intimo	14
leggermente	12
personale	249
commento	4
simpatia	19
scelta	118
confronto	3
parecchio	7
aspettativa	21
maestria	3
categoria	3
abbacchio	28
quartiere	22
ricerca	6
crostino	3
proprio	51
rapporto	36
frittura	6
passione	10
banale	4
panino	5
sito	4
secondo	92
spuntino	4
vastissimo	7
entrata	7
panna	21
verace	6
commessa|commesso	3
selezione	9
rosso	9
risposta	5
area	3
visita	11
tavolino	7
problema	21
fascia	3
completo	10
autentico	10
luogo	6
cena	131
freddo	33
richiesta	14
calcio	4
salato	18
fantasioso	5
buonissimo	70
superlativo	9
varechina	3
preparazione	13
rapido	10
asiatico	6
efficiente	13
finale	5
terra	3
tiepido	3
trattoria	83
ragù	3
cremoso	4
sorridente	10
porcino	4
numeroso	6
cambiamento	3
artigianale	6
tipologia	8
adatto	7
maltagliato	3
interesse	3
impegnativo	4
vero	57
fatto	20
prosciutto	5
difficilmente	3
festa	6
foto	9
padrone	5
leggero	11
fortuna	15
involtino	6
fritto	19
seguito	8
fiorentino	3
mitico	6
conto	61
tranquillo	17
stella	13
perfetto	36
gestione	5
via	38
servizio	255
turista	11
conta	3
pesce	60
salto	4
hamburger	6
cortese	49
sinonimo	3
allegro	3
infamia	7
senso	3
calma	3
spiedo	4
meraviglioso	13
bambino	21
medio	79
bocca	12
pepe	119
personalmente	16
giapponese	68
pane	17
pronto	16
pesante	10
pena	31
lontano	5
comune	3
divertente	6
vecchio	14
delizioso	27
tartufo	12
fattura	3
capitale	4
zabaione	12
abbinamento	3
inesistente	5
giovane	14
paziente	4
occasione	18
scomodo	4
idea	17
pecorino	18
buono	417
soggiorno	3
biscotto	8
saluto	7
piatto	343
turno	6
temperatura	3
fretta	9
manco	5
base	15
stellato	4
veloce	67
proprietario	25
brasiliano	7
tempio	3
bistecca	5
accettabile	4
abbondanza	4
cifra	3
elegante	16
scortesia	3
bravo	31
impeccabile	23
internazionale	5
costa	6
norma	17
moglie	11
regola	3
musico	10
velocità	8
odore	5
insieme	11
occhio	10
tovaglia	12
inglese	6
livello	48
pieno	32
birra	28
roba	4
coniglio	4
zucchina	3
brace	3
spartano	10
gradevole	17
mani|mano	6
sereno	3
fresco	36
cinese	23
taxi	3
polpetta	38
certo	19
impasto	8
carne	41
costantemente	3
venerdì	3
laurea	5
amico	127
griglia	7
maniera	9
mercato	6
vino	126
locale	451
cultura	3
zucca	6
estetico	3
fontana	13
professionalità	20
crema	20
deludente	8
tagliere	8
catena	4
solo	102
necessario	5
macchina	4
cornetto	3
natale	3
fianco	3
caprese	3
profumo	3
istituzione	3
colpo	4
colpa	3
storia	4
interessante	15
stupendo	4
affamato	4
melanzana	10
frutto	4
rinomato	3
dama	4
titolo	6
fiscale	3
quantità	28
bruschetta	8
pesto	3
cotoletta	3
legna	3
fermata|fermato	3
legno	5
spiegazione	7
supplì	25
ristoratore	3
scortese	4
tradizionale	38
torta	9
peggiore	9
esperienza	47
indimenticabile	5
giorno	37
euro	90
normale	11
interno	23
testa	20
eccessivo	9
salvo	3
montaggio	4
faccia	9
alternativo	8
battuto	5
zuppa	13
presentazione	11
cotta	9
difficile	23
magico	3
rigatone	26
notte	3
continuo	6
maleducato	3
ricotta	9
pomodoro	13
capodanno	4
scala	3
cortesia	18
anno	72
saltimbocca	4
contesto	3
esterno	6
classico	58
libero	6
massimo	16
fantasia	3
tradizione	57
modico	5
semplice	26
tipicamente	7
seggiolone	4
tenero	3
serie	3
barman	8
eccessivamente	3
aperto	5
ristrutturazione	8
divino	4
fidanzato	6
diverso	50
materia	31
popolare	3
morbido	11
consigliabile	3
sazio	3
acustico	3
compagnia	11
insipido	7
coratella	11
bianco	19
passaggio	7
mese	3
prossimo	11
altissimo	7
semplicità	3
ordinazione	16
prelibato	3
atteggiamento	5
sostanza	3
contorno	18
onesto	30
giustamente	3
dessert	11
tavolo	165
aglio	6
spazio	17
condimento	14
spaghetto	7
scarso	20
giudizio	6
fiore	4
bontà	18
cliente	61
ristorante	233
angusto	3
clima	4
tipico	101
volo	3
specialità	15
arancino	3
ingresso	14
bacchetta	3
prezzo	324
zona	51
professionale	28
semifreddo	4
whisky	3
grasso	6
chiaramente	3
nocciola	4
laziale	4
sporco	3
attenzione	19
solito	13
possibile	20
direttore	6
robot	7
programma	3
bordo	3
ottimo	374
linea	15
sottofondo	3
lingua	5
top	32
dolente	4
perfettamente	3
oggi	12
madre	3
salume	7
cotto	9
grandissimo	7
salso	12
raramente	3
tentacolo	3
importante	7
cacio	112
domanda	4
moda	6
spettacolare	17
atmosfera	41
frittata	6
osteria	25
arredamento	18
variegato	6
grigliata	4
velocemente	3
ricercatezza	6
peccato	41
indicazione	3
termine	4
struttura	4
assoluto	11
tempo	55
realtà	3
delusione	13
scena	3
tortino	3
innovazione	4
benvenuto	5
accessibile	4
notevole	6
mattina|mattino	4
parcheggio	12
complesso	24
altrettanto	4
ragionevole	4
sorpresa	14
secco	6
splendido	8
prova	3
gentile	136
attesa	46
fantastico	20
qualità	305
giardino	3
uovo	8
città	7
degno	11
cuore	20
opzione	3
preferito	9
compleanno	18
garanzia	12
sofisticato	3
esplosione	5
venere	3
passo	15
staff	30
pausa	3
differenza	5
terribile	3
pagliata	4
scadente	5
difficoltà	4
digeribile	3
merito	6
nuovamente	4
offerta	16
immancabile	5
colore	7
bruno	3
fagiolo	7
inaccettabile	3
antico	10
ragazza|ragazzo	22
limite	5
patata	32
scontrino	10
terrazza|terrazzo	6
grazia	41
palato	8
immenso	3
pranzo	67
marito	8
dicembre	3
abituale	4
altezza	13
ultra	3
straordinario	6
manica	4
felice	8
decina	3
obbligatorio	6
viaggio	3
drink	19
infinito	5
broccolo	4
gustoso	30
monta|monte	4
antipasto	96
accurato	6
entusiasta	3
pistacchio	7
momento	11
abbondante	49
manzo	3
ingrediente	29
crostata	4
fata	15
turistico	14
titolare	12
spazioso	10
piattino	14
anticipo	16
pretesa	7
pago	4
ideale	6
fettuccina	10
cognato	4
stagione	3
motivo	6
famiglia	23
organizzazione	4
sicuramente	88
croccante	21
meraviglia	5
metro	7
pasto	6
pasta	76
inizio	6
raro	5
pienamente	3
strategico	3
fase	3
dubbio	10
strepitoso	15
spiedino	3
gruppo	18
cantina	5
spaziale	4
varietà	23
petto	3
ricordo	12
aziendale	7
frutta	8
invitante	4
insegna	3
ultimo	21
tantino	3
forte	6
succo	3
sollecito	3
gelato	74
misto	10
delizia	5
alga	3
filetto	7
duro	4
periodo	8
prevalentemente	3
conferma	8
formaggio	11
rumore	4
affettato	4
quarto	5
piastra	7
eccezionale	53
parola	15