"";"banalfreq";"X.RATING_1.2";"X.RATING_1.8";"X.RATING_2";"X.RATING_2.2";"X.RATING_2.4";"X.RATING_2.6";"X.RATING_2.8";"X.RATING_3";"X.RATING_3.2";"X.RATING_3.4";"X.RATING_3.6";"X.RATING_3.8";"X.RATING_4";"X.RATING_4.2";"X.RATING_4.25";"X.RATING_4.33";"X.RATING_4.4";"X.RATING_4.5";"X.RATING_4.6";"X.RATING_4.75";"X.RATING_4.8";"X.RATING_5"
"tagliere";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;0,4861;-0,1446;-0,3759;0,8302;-0,2079;0,3344;-0,3426;-0,4125;1,3984;-0,0341;-0,0125;0,7696;-0,0101;-0,2746;-0,0168;-0,4125;-0,3898
"interessante";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;0,2615;0,8933;0,4496;0,9854;-0,314;-0,3781;-0,197;-0,0312;-0,0114;0,4067;-0,0092;-0,6576;-0,0154;-0,3781;0,7321
"due";91;-0,2081;-0,2154;-0,1505;0,2646;0,4941;0,2446;1,4172;-0,2584;1,4584;-0,5176;-0,496;-0,5154;-1,1142;-0,5679;-0,2594;0,7076;0,3734;-0,0765;-0,3092;-0,1276;1,3729;-0,4536
"tradizionale";17;-0,0387;-0,0401;-0,088;0,3801;-0,0312;-0,2433;-0,2048;0,4772;0,1984;-0,2946;-0,3826;-0,1517;-0,5845;0,2248;-0,0483;-0,0176;1,3372;-0,0142;0,4242;-0,0238;0,4262;-0,5523
"fatto";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;-0,2003;-0,1687;0,1967;1,373;0,3686;0,2875;0,2207;-0,148;1,1725;-0,0398;-0,0145;-0,7854;-0,0117;-0,3503;-0,0196;-0,148;-0,4548
"esperienza";25;0,9101;-0,059;0,5889;-0,3445;-0,046;0,2508;0,8285;-0,7835;0,3732;0,1997;0,8877;-0,2825;0,2387;-0,6953;-0,071;-0,026;-0,1932;-0,021;-0,2244;-0,035;-0,3738;0,573
"in_cui";16;-0,0365;-0,0377;-0,0828;-0,2204;-0,0294;-0,2289;0,4456;-0,1593;0,6339;0,3262;-0,3601;-0,4568;-0,5501;0,5604;-0,0454;-0,0166;0,2262;-0,0134;0,4694;-0,0224;0,4602;-0,1688
"birra";32;-0,073;-0,0755;-0,1657;0,1953;-0,0589;-0,4582;-0,3858;0,4131;0,2563;-0,1921;0,6623;-0,412;-0,2547;0,52;-0,091;-0,0332;0,7353;-0,0268;-0,2179;-0,0448;0,3529;-0,4974
"passato";13;-0,0296;-0,0307;-0,0673;-0,179;-0,0239;-0,186;-0,1566;-0,4072;0,7736;0,3929;0,3097;0,2407;0,5855;-0,6876;-0,0369;-0,0135;-0,7293;1,606;0,2904;-0,0182;0,5855;0,2064
"stesso";22;-0,0501;-0,0519;-0,1139;-0,3031;-0,0404;0,2876;1,6735;0,712;-0,5639;0,6742;-0,4952;-0,2309;0,6345;-0,5782;-0,0625;-0,0228;-0,3084;-0,0184;-0,6873;-0,0308;-0,3072;1,1599
"difficile";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;0,5172;1,4582;-0,3445;1,6613;0,4496;0,3621;0,2884;-0,3781;-0,197;-0,0312;-0,0114;-0,617;-0,0092;-0,2386;-0,0154;-0,3781;-0,3573
"pomodoro";16;-0,0365;-0,0377;-0,0828;-0,2204;-0,0294;0,3875;1,158;-0,5013;0,214;-0,2772;0,2491;-0,4568;0,4602;-0,3587;-0,0454;-0,0166;0,2262;-0,0134;0,4694;-0,0224;0,9318;-0,5198
"riso";18;-0,041;-0,0425;-0,0932;-0,2479;-0,0331;-0,2576;-0,2169;-0,564;-0,4613;0,2904;1,2269;-0,1668;-0,6189;-0,9523;-0,0511;-0,0187;1,7971;-0,0151;1,6775;-0,0252;-0,6189;-0,2047
"sono_stati";13;-0,0296;-0,0307;-0,0673;0,4713;-0,0239;-0,186;1,322;-0,4072;0,2712;-0,2252;-0,2925;-0,3711;0,192;0,348;1,0889;-0,0135;0,3197;-0,0109;0,2904;-0,0182;0,192;-0,4223
"zucca";15;-0,0342;-0,0354;-0,0776;-0,2066;-0,0276;1,0798;-0,1807;-0,143;-0,3843;-0,2599;0,761;0,6082;-0,1661;-0,3245;-0,0426;-0,0156;-0,8416;-0,0126;0,9336;-0,021;0,4978;-0,4873
"classico";26;-0,0593;-0,0614;0,5743;0,7123;-0,0478;-0,3722;0,8013;0,2608;-0,6665;-0,1368;-0,5854;0,3018;0,8821;0,2321;0,8057;-0,027;-0,4265;-0,0218;0,3625;-0,0364;-0,3966;-0,3646
"massimo";10;-0,0228;-0,0236;-0,0517;-0,1377;-0,0184;-0,143;0,6158;0,8237;-0,2562;-0,1732;-0,225;0,3172;0,2622;-0,1679;-0,0284;-0,0104;0,9548;-0,0084;-0,204;-0,014;-0,3437;-0,3248
"modico";10;-0,0228;-0,0236;-0,0517;0,5659;-0,0184;-0,143;-0,1204;0,8237;-0,2562;0,4829;-0,225;-0,2854;0,2622;-0,5288;-0,0284;-0,0104;-0,5609;-0,0084;0,895;-0,014;0,2622;0,2785
"semplice";21;0,9815;-0,0496;-0,1087;0,3131;-0,0386;-0,3006;-0,2531;-0,2476;0,9371;-0,364;-0,4727;-0,2143;-0,7222;0,6688;-0,0597;-0,0218;-0,5875;-0,0176;0,2855;-0,0294;0,6748;0,7228
"gradevole";14;-0,0319;-0,033;-0,0724;0,4455;-0,0257;-0,2003;0,4924;0,1967;-0,3587;-0,2426;0,2875;0,2207;-0,148;0,3112;-0,0398;-0,0145;-0,3183;-0,0117;0,2568;-0,0196;-0,148;0,5731
"materia";18;-0,041;-0,0425;-0,0932;-0,2479;-0,0331;-0,2576;0,4055;-0,1933;-0,4613;0,2904;0,2171;-0,1668;-0,2237;-0,4293;-0,0511;-0,0187;-0,4679;-0,0151;1,1474;-0,0252;-0,2237;1,4403
"gustoso";30;-0,0684;-0,0708;-0,1553;-0,4135;-0,0552;-0,4295;-0,3617;-0,1854;-0,3179;-0,5202;0,7186;0,5268;-0,2234;-0,501;-0,0853;-0,0312;0,8315;-0,0252;0,2595;-0,042;0,3956;0,7787
"dall";18;-0,041;-0,0425;-0,0932;-0,2479;-0,0331;0,3493;-0,2169;-0,564;-0,4613;-0,3119;0,2171;-0,514;-0,6189;-0,1811;-0,0511;-0,0187;0,781;-0,0151;0,7145;-0,0252;0,8161;0,8677
"visita";11;-0,0251;1,2367;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;0,2615;-0,2818;-0,1906;0,3621;0,2884;-0,3781;-0,197;-0,0312;1,586;-0,2161;1,6778;-0,6576;-0,0154;0,6951;0,2512
"bianco";10;-0,0228;-0,0236;-0,0517;-0,1377;-0,0184;-0,143;-0,1204;-0,3132;0,3511;-0,1732;-0,225;0,3172;0,761;1,0114;-0,0284;-0,0104;-0,5609;-0,0084;0,4262;-0,014;0,2622;-0,3248
"passaggio";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;-0,3445;-0,2818;0,4496;-0,2475;-0,314;0,6951;0,4381;1,1586;-0,0114;0,4067;-0,0092;-0,2386;1,4587;0,2356;-0,3573
"coda";15;-0,0342;-0,0354;-0,0776;0,4219;-0,0276;-0,2146;0,468;1,089;-0,3843;-0,2599;0,761;0,6082;0,4978;-0,3245;-0,0426;-0,0156;0,2535;-0,0126;-0,3896;-0,021;-0,5157;-0,4873
"contorno";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;0,4324;0,4924;0,1967;-0,3587;-0,2426;0,2875;0,2207;0,5393;-0,7405;-0,0398;-0,0145;1,6941;-0,0117;-0,3503;-0,0196;-0,4813;-0,135
"un_po";76;-0,1737;-0,1798;0,644;0,3721;-0,1401;1,0013;-0,4197;0,5589;1,5383;-0,3719;-0,5939;0,6828;0,4475;0,6017;-0,2165;-0,0791;-0,2527;-0,0639;-1,2039;-0,1065;-0,7955;-0,714
"tre";13;1,1809;-0,0307;-0,0673;-0,179;-0,0239;0,458;1,322;-0,4072;-0,3331;-0,2252;0,3097;-0,3711;0,5855;-0,6876;-0,0369;-0,0135;-0,7293;-0,0109;0,2904;-0,0182;1,151;0,2064
"spazio";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;-0,2003;-0,1687;0,1967;0,7225;0,9923;0,8091;0,2207;-0,4813;0,3112;-0,0398;-0,0145;-0,3183;-0,0117;-0,8371;-0,0196;-0,148;0,5731
"fiore";13;-0,0296;-0,0307;-0,0673;-0,179;-0,0239;-0,186;-0,1566;0,2158;-0,3331;-0,2252;-0,2925;1,3434;0,192;-0,2587;-0,0369;-0,0135;-0,7293;-0,0109;1,7351;-0,0182;0,192;0,2064
"tipico";49;-0,1118;-0,1158;-0,2539;-0,2635;-0,0902;-0,7022;-0,5913;-0,4843;-1,2575;0,2394;-0,5462;1,4674;-0,3167;1,3158;-0,1394;-0,0509;1,1808;-0,0411;0,3519;-0,0686;-0,3167;-0,2791
"una_volta";15;-0,0342;-0,0354;-0,0776;0,4219;-0,0276;0,409;0,468;-0,143;-0,3843;0,9411;0,761;-0,4283;-0,5157;0,615;-0,0426;-0,0156;-0,3544;-0,0126;-0,8969;-0,021;0,4978;-0,1517
"prezzo";213;-0,159;-0,5071;-0,2706;-0,4654;0,6446;1,3527;-0,7928;-0,9334;-0,4971;0,6732;0,2899;-0,5371;1,0585;-0,2852;1,3012;-0,2231;-1,253;0,4691;1,1315;-0,3005;0,7171;-0,8213
"zona";54;-0,1233;-0,1276;-0,2799;0,625;-0,0994;-0,3243;-0,6518;0,4928;0,4273;-0,4312;0,2861;0,5881;-0,2167;0,371;0,5258;-0,0561;-0,4581;1,0038;-0,5372;-0,0756;0,6466;-0,3485
"cliente";43;-0,0981;1,6465;-0,2228;-0,593;0,7784;-0,6161;1,5331;0,4554;-0,2597;1,0654;0,4313;-0,6347;0,9789;0,6633;-0,1223;-0,0447;-1,5737;-0,0361;-1,1406;-0,0602;0,3814;-0,4062
"attenzione";13;-0,0296;-0,0307;0,8432;0,4713;-0,0239;-0,186;0,5189;-0,4072;-0,3331;1,0483;0,3097;-0,3711;0,192;-0,6876;-0,0369;-0,0135;-0,2831;1,606;-0,3119;-0,0182;0,5855;0,2064
"top";10;-0,0228;-0,0236;-0,0517;0,5659;-0,0184;-0,143;-0,1204;-0,3132;0,3511;-0,1732;-0,225;-0,2854;0,2622;-0,5288;-0,0284;-0,0104;0,9548;-0,0084;0,4262;-0,014;0,2622;0,2785
"salume";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;0,2615;0,3212;-0,1906;-0,2475;-0,314;-0,3781;0,9101;-0,0312;-0,0114;0,8557;-0,0092;0,3739;-0,0154;0,2356;-0,3573
"salso";14;-0,0319;-0,033;-0,0724;0,4455;-0,0257;-0,2003;0,4924;0,1967;-0,3587;-0,2426;0,2875;0,6529;1,0706;-0,7405;-0,0398;-0,0145;0,2844;-0,0117;0,5769;-0,0196;-0,4813;-0,4548
"cacio";48;0,6518;-0,1134;-0,2487;0,7255;-0,0884;-0,2706;-0,2071;-0,8429;0,5307;-0,833;-0,2511;1,0858;-0,5499;0,5104;-0,1365;-0,0499;0,2734;-0,0403;0,374;-0,0672;0,5224;-0,4976
"ragazzo";32;-0,073;-0,0755;-0,1657;-0,4411;-0,0589;-0,4582;0,2301;-0,212;0,5584;-0,5549;0,3141;-0,412;-0,2547;0,2944;-0,091;-0,0332;1,4775;-0,0268;0,6533;-0,0448;0,3529;-1,0404
"atmosfera";43;-0,0981;-0,1016;-0,2228;0,4091;-0,0791;0,3892;-0,1736;-0,38;0,3467;-0,746;-0,2009;-0,6347;-0,4502;0,254;-0,1223;-0,0447;0,8475;-0,0361;0,3169;-0,0602;-0,2333;1,066
"e_poi";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;0,4324;-0,1687;0,1967;-0,3587;0,3686;0,8091;0,2207;-0,148;-0,2911;-0,0398;-0,0145;0,2844;-0,0117;-0,8371;-0,0196;1,0706;-0,135
"tempo";41;-0,0935;-0,0968;0,4125;0,8693;-0,0754;0,8344;-0,4946;-0,6757;-0,5078;0,3187;-0,1821;-0,5928;-0,769;0,7362;-0,1166;-0,0426;-0,5996;-0,0344;-0,2476;-0,0574;0,7024;1,1465
"livello";14;-0,0319;-0,033;-0,0724;0,4455;-0,0257;0,4324;0,4924;0,1967;-0,3587;-0,2426;0,2875;-0,3997;-0,4813;0,676;-0,0398;-0,0145;-0,3183;-0,0117;1,0239;-0,0196;-0,4813;-0,135
"secco";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;0,4324;-0,1687;0,5951;0,7225;-0,2426;0,8091;0,2207;0,5393;0,676;-0,0398;-0,0145;-0,7854;-0,0117;-0,8371;-0,0196;-0,148;-0,4548
"splendido";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;0,4861;-0,1446;-0,3759;-0,3074;0,4198;-0,27;0,2631;-0,4125;-0,2273;-0,0341;-0,0125;0,3601;-0,0101;-0,2746;-0,0168;0,637;1,2995
"gentile";99;-0,2265;0,3797;-0,1725;-0,3992;0,4643;0,3981;-0,3109;-0,515;0,4703;-0,6008;-0,3606;-0,4065;0,6589;-0,2712;-0,2823;-0,1032;0,5092;-0,0833;0,2904;0,5626;1,1427;-0,8232
"facile";11;-0,0251;-0,0259;-0,0569;0,531;-0,0202;-0,1574;-0,1325;0,2615;-0,2818;-0,1906;-0,2475;-0,314;0,6951;-0,5817;-0,0312;-0,0114;0,8557;-0,0092;0,3739;-0,0154;-0,3781;0,7321
"cuore";15;1,121;-0,0354;-0,0776;-0,2066;-0,0276;-0,2146;-0,1807;-0,4699;0,2312;-0,2599;0,2673;-0,4283;-0,1661;-0,3245;-0,0426;-0,0156;0,5685;-0,0126;0,52;-0,021;0,4978;0,5306
"passo";10;-0,0228;-0,0236;-0,0517;-0,1377;-0,0184;0,5519;-0,1204;-0,3132;0,3511;0,4829;1,0582;0,3172;-0,3437;0,4939;-0,0284;-0,0104;-0,5609;-0,0084;0,4262;-0,014;-0,3437;-0,3248
"staff";17;-0,0387;-0,0401;-0,088;-0,2342;-0,0312;-0,2433;-0,2048;-0,5326;-0,4356;-0,2946;0,6765;-0,4854;0,4262;0,2248;-0,0483;-0,0176;0,849;-0,0142;0,7801;-0,0238;0,4262;-0,1865
"pausa";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;0,4324;-0,1687;-0,4386;0,2501;-0,2426;0,2875;-0,3997;-0,148;0,3112;-0,0398;-0,0145;0,2844;1,5742;0,2568;1,356;-0,148;-0,135
"offerta";11;-0,0251;-0,0259;-0,0569;0,531;-0,0202;0,5172;-0,1325;0,7561;0,3212;0,4496;-0,2475;-0,314;0,2356;-0,197;-0,0312;-0,0114;-0,2161;-0,0092;-0,2386;-0,0154;0,2356;-0,3573
"possibile";11;1,2513;-0,0259;-0,0569;0,531;-0,0202;0,5172;0,5801;-0,3445;0,3212;-0,1906;-0,2475;0,2884;-0,3781;-0,5817;-0,0312;-0,0114;-0,2161;-0,0092;-0,2386;-0,0154;0,2356;0,7321
"grazia";24;0,9268;-0,0566;0,6042;-0,3307;-0,0441;-0,3435;0,3131;-0,3053;-0,2241;0,2102;-0,1827;0,3403;0,256;-0,3278;-0,0682;-0,0249;-0,7121;-0,0201;-0,4113;-0,0336;0,5621;1,5881
"palato";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;-0,3445;0,8933;0,4496;-0,2475;0,2884;-0,3781;0,4381;-0,0312;-0,0114;-0,617;-0,0092;0,7982;-0,0154;-0,3781;0,7321
"pranzo";64;-0,1462;0,5314;-0,3319;0,2232;-0,1179;0,4642;0,2791;-0,2691;-0,9525;-1,1115;-0,436;0,4144;-0,5649;0,5097;-0,1822;0,8473;0,2848;-0,0538;1,2143;0,7292;0,2655;-0,2951
"é";17;-0,0387;-0,0401;-0,088;1,8302;-0,0312;-0,2433;-0,2048;-0,5326;0,1984;-0,2946;-0,3826;-0,4854;-0,5845;-0,3936;-0,0483;-0,0176;1,3372;-0,0142;1,2421;-0,0238;-0,204;-0,1865
"pistacchio";11;-0,0251;-0,0259;-0,0569;-0,1515;-0,0202;-0,1574;-0,1325;0,7561;-0,2818;-0,1906;-0,2475;-0,314;0,6951;-0,5817;-0,0312;-0,0114;1,455;-0,0092;-0,2386;-0,0154;-0,3781;0,7321
"abbondante";27;-0,0616;-0,0637;-0,1398;-0,3721;-0,0497;-0,3865;-0,3255;1,4426;1,1831;-0,1457;0,3995;0,6118;-0,4198;-0,4115;-0,0767;-0,028;0,3801;-0,0226;-0,5128;-0,0378;0,4707;-0,8776
"in_questo";69;-0,1576;-0,1632;-0,3579;-0,4427;-0,1271;0,7341;0,2466;-0,3272;0,4424;0,5473;-0,8854;-0,4523;1,1153;-0,7389;-0,1965;0,8171;0,4915;-0,058;0,2713;-0,0967;1,1153;-0,9314
"manzo";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;0,4861;-0,1446;0,2372;1,5548;-0,2079;-0,27;0,2631;0,2124;-0,2273;-0,0341;-0,0125;0,3601;-0,0101;-0,7174;-0,0168;0,2124;0,2274
"ideale";12;-0,0273;-0,0283;-0,0621;-0,1653;-0,0221;-0,1717;-0,1446;0,2372;0,2947;-0,2079;-0,27;-0,3426;0,637;-0,6347;-0,0341;-0,0125;1,3215;-0,0101;-0,2746;-0,0168;0,2124;0,6729
"pasto";13;-0,0296;-0,0307;-0,0673;-0,179;-0,0239;-0,186;-0,1566;-0,4072;-0,3331;0,3929;-0,2925;-0,3711;1,151;-0,6876;-0,0369;-0,0135;1,8413;-0,0109;0,6412;1,3875;-0,4469;-0,4223
"pasta";46;-0,105;-0,1087;0,3743;1,264;-0,0847;1,2156;-0,1935;-0,7944;0,5708;-0,7982;-0,4982;0,2463;0,5684;-0,4192;-0,1308;-0,0478;0,3101;-0,0386;-0,3476;-0,0644;-0,2737;0,3714
"gruppo";12;1,2146;-0,0283;-0,0621;-0,1653;1,3053;0,4861;-0,1446;0,6963;0,2947;-0,2079;-0,27;-0,3426;-0,4125;0,822;-0,0341;-0,0125;0,3601;-0,0101;-0,2746;-0,0168;-0,4125;-0,3898
"varietà";26;-0,0593;0,8802;-0,1346;-0,3583;-0,0478;-0,3722;-0,3134;-0,8149;-0,6665;1,1004;-0,2079;0,3018;0,2227;-0,383;-0,0739;-0,027;1,0658;-0,0218;-0,2472;-0,0364;0,2227;0,9464
"ultimo";18;-0,041;-0,0425;0,7143;-0,2479;-0,0331;-0,2576;-0,2169;0,4446;-0,4613;0,2904;-0,4051;-0,1668;0,3951;-0,4293;-0,0511;-0,0187;0,781;-0,0151;0,7145;-0,0252;0,3951;-0,5848
"misto";14;-0,0319;-0,033;-0,0724;-0,1928;-0,0257;0,4324;-0,1687;0,1967;0,7225;-0,2426;0,8091;0,6529;-0,4813;-0,7405;-0,0398;-0,0145;0,6276;-0,0117;-0,3503;-0,0196;-0,4813;0,5731
"formaggio";21;-0,0479;-0,0496;-0,1087;-0,2893;-0,0386;-0,3006;-0,2531;-0,658;-0,1807;-0,364;-0,4727;-0,2143;-0,2857;0,6688;-0,0597;-0,0218;0,9949;-0,0176;-0,3171;-0,0294;0,6748;1,2227
"buon";43;-0,0981;-0,1016;-0,2228;-0,593;-0,0791;-0,6161;-0,5187;0,2342;-0,5442;-0,3057;-0,2009;0,5357;0,9789;0,949;-0,1223;-0,0447;0,5846;-0,0361;1,0326;-0,0602;-0,4502;-1,3987
"eccezionale";25;-0,057;-0,059;-0,1294;0,2615;-0,046;-0,3579;-0,3013;0,2781;0,3732;-0,4334;-0,1952;0,3204;-0,8599;0,8216;1,9433;-0,026;-0,1932;-0,021;-1,4956;1,1116;0,5296;0,573
