id|name|no_review|no_rating|link
91|Ristorante Est Est Est|631|35|/Restaurant_Review-g187791-d5504724-Reviews-Ristorante_Est_Est_Est-Rome_Lazio.html
91|1. CasaManco|321|50|/Restaurant_Review-g187791-d11793251-Reviews-CasaManco-Rome_Lazio.html
91|2. Masto|434|45|/Restaurant_Review-g187791-d10478263-Reviews-Masto-Rome_Lazio.html
91|3. La Fata Ignorante|4605|45|/Restaurant_Review-g187791-d3598856-Reviews-La_Fata_Ignorante-Rome_Lazio.html
91|4. Mordi e Vai|775|45|/Restaurant_Review-g187791-d3662985-Reviews-Mordi_e_Vai-Rome_Lazio.html
91|5. Panna & Co|152|50|/Restaurant_Review-g187791-d8618086-Reviews-Panna_Co-Rome_Lazio.html
91|6. Trapizzino Testaccio|1344|45|/Restaurant_Review-g187791-d4313949-Reviews-Trapizzino_Testaccio-Rome_Lazio.html
91|7. Gelateria Brivido|158|45|/Restaurant_Review-g187791-d5011643-Reviews-Gelateria_Brivido-Rome_Lazio.html
91|8. Sushisen|2040|45|/Restaurant_Review-g187791-d793647-Reviews-Sushisen-Rome_Lazio.html
91|9. Il Pangocciolaio|246|45|/Restaurant_Review-g187791-d1172218-Reviews-Il_Pangocciolaio-Rome_Lazio.html
91|10. Trattoria Pennestri|471|45|/Restaurant_Review-g187791-d12321823-Reviews-Trattoria_Pennestri-Rome_Lazio.html
91|11. Sushi Doku|637|45|/Restaurant_Review-g187791-d9976688-Reviews-Sushi_Doku-Rome_Lazio.html
91|12. Sakana Sushi|1298|45|/Restaurant_Review-g187791-d2527304-Reviews-Sakana_Sushi-Rome_Lazio.html
91|13. La Vecchia Lupiae|196|45|/Restaurant_Review-g187791-d8818231-Reviews-La_Vecchia_Lupiae-Rome_Lazio.html
91|14. Junsei Restaurant Kaiten Sushi|327|45|/Restaurant_Review-g187791-d2437213-Reviews-Junsei_Restaurant_Kaiten_Sushi-Rome_Lazio.html
91|15. Lo Scopettaro|4331|45|/Restaurant_Review-g187791-d802441-Reviews-Lo_Scopettaro-Rome_Lazio.html
91|16. Ristorante Eritrea|279|40|/Restaurant_Review-g187791-d7074530-Reviews-Ristorante_Eritrea-Rome_Lazio.html
91|17. Osteria degli Amici|594|40|/Restaurant_Review-g187791-d2253960-Reviews-Osteria_degli_Amici-Rome_Lazio.html
91|18. Il nido gusto e miscele|257|45|/Restaurant_Review-g187791-d11766636-Reviews-Il_Nido_Gusto_e_Miscele-Rome_Lazio.html
91|19. Pecorino|1344|40|/Restaurant_Review-g187791-d1077801-Reviews-Pecorino-Rome_Lazio.html
91|20. Hostaria da Enzo|849|45|/Restaurant_Review-g187791-d1788657-Reviews-Hostaria_da_Enzo-Rome_Lazio.html
91|21. PIZZERIA OSTIENSE|739|40|/Restaurant_Review-g187791-d6550888-Reviews-PIZZERIA_OSTIENSE-Rome_Lazio.html
91|22. Piatto Romano|271|40|/Restaurant_Review-g187791-d2669660-Reviews-Piatto_Romano-Rome_Lazio.html
91|23. Gelateria La Romana - Roma, via Ostiense|1851|40|/Restaurant_Review-g187791-d6463411-Reviews-Gelateria_La_Romana_Roma_via_Ostiense-Rome_Lazio.html
91|24. Taverna Volpetti|416|40|/Restaurant_Review-g187791-d1034675-Reviews-Taverna_Volpetti-Rome_Lazio.html
91|25. Molì|257|40|/Restaurant_Review-g187791-d2630138-Reviews-Moli-Rome_Lazio.html
91|26. Tbsp Spot Testaccio|67|50|/Restaurant_Review-g187791-d13223268-Reviews-Tbsp_Spot_Testaccio-Rome_Lazio.html
91|27. Felice a Testaccio|5650|40|/Restaurant_Review-g187791-d1519608-Reviews-Felice_a_Testaccio-Rome_Lazio.html
91|28. Osteria Fratelli Mori|886|40|/Restaurant_Review-g187791-d939672-Reviews-Osteria_Fratelli_Mori_Novecento-Rome_Lazio.html
91|29. Polpetta Gazometro|748|45|/Restaurant_Review-g187791-d3873638-Reviews-Polpetta_Gazometro-Rome_Lazio.html
91|30. Pasticceria Andreotti|447|40|/Restaurant_Review-g187791-d2022387-Reviews-Pasticceria_Andreotti-Rome_Lazio.html
91|Il Tempio di Minerva|2713|45|/Restaurant_Review-g187791-d1632970-Reviews-Il_Tempio_di_Minerva-Rome_Lazio.html
91|31. Il Grottino|787|40|/Restaurant_Review-g187791-d796291-Reviews-Il_Grottino-Rome_Lazio.html
91|32. Assuntina Ristorante|274|40|/Restaurant_Review-g187791-d8748265-Reviews-Assuntina_Ristorante-Rome_Lazio.html
91|33. Pasticceria Linari|206|40|/Restaurant_Review-g187791-d2054372-Reviews-Pasticceria_Linari-Rome_Lazio.html
91|34. Ristorante Pizzeria Antico Forno a Testaccio|384|40|/Restaurant_Review-g187791-d2055772-Reviews-Antico_Forno_a_Testaccio-Rome_Lazio.html
91|35. Pizzeria da Remo|1775|40|/Restaurant_Review-g187791-d781235-Reviews-Pizzeria_da_Remo-Rome_Lazio.html
91|36. Stazione di Posta|523|40|/Restaurant_Review-g187791-d3786267-Reviews-Stazione_di_Posta-Rome_Lazio.html
91|37. Bar Giolitti|361|40|/Restaurant_Review-g187791-d3295042-Reviews-Bar_Giolitti-Rome_Lazio.html
91|38. Ai Cocci|160|45|/Restaurant_Review-g187791-d15244534-Reviews-Ai_Cocci-Rome_Lazio.html
91|39. Nuovo Mondo|777|40|/Restaurant_Review-g187791-d796378-Reviews-Nuovo_Mondo-Rome_Lazio.html
91|40. Taberna Persiana|283|40|/Restaurant_Review-g187791-d1551448-Reviews-Taberna_Persiana-Rome_Lazio.html
91|41. Alice Pizza Ostiense|200|40|/Restaurant_Review-g187791-d8076018-Reviews-Alice_Pizza_Ostiense-Rome_Lazio.html
91|42. Augustarello a Testaccio|499|40|/Restaurant_Review-g187791-d743400-Reviews-Augustarello_a_Testaccio-Rome_Lazio.html
91|43. Enoteca Divinare|91|45|/Restaurant_Review-g187791-d2204294-Reviews-Enoteca_Divinare-Rome_Lazio.html
91|44. Doppiozeroo|1120|35|/Restaurant_Review-g187791-d1504821-Reviews-Doppiozeroo-Rome_Lazio.html
91|45. Da Bucatino|2664|40|/Restaurant_Review-g187791-d796383-Reviews-Da_Bucatino-Rome_Lazio.html
91|46. Lì Ar Monte|109|40|/Restaurant_Review-g187791-d13813954-Reviews-Li_Ar_Monte-Rome_Lazio.html
91|47. Il Secchio e l'Olivaro - Ostiense|642|35|/Restaurant_Review-g187791-d4924435-Reviews-Il_Secchio_e_l_Olivaro_Ostiense-Rome_Lazio.html
91|48. La Fraschetta di Mastro Giorgio|803|40|/Restaurant_Review-g187791-d781963-Reviews-La_Fraschetta_di_Mastro_Giorgio-Rome_Lazio.html
91|49. Makai Surf & Tiki Bar|133|45|/Restaurant_Review-g187791-d11912126-Reviews-Makai_Surf_Tiki_Bar-Rome_Lazio.html
91|50. Checchino dal 1887|536|35|/Restaurant_Review-g187791-d696509-Reviews-Checchino_Dal_1887-Rome_Lazio.html
91|51. Trattoria Perilli|1964|40|/Restaurant_Review-g187791-d785276-Reviews-Trattoria_Perilli-Rome_Lazio.html
91|52. Mercat Bistrot & Old Bar|246|40|/Restaurant_Review-g187791-d5854621-Reviews-Mercat_Bistrot_Old_Bar-Rome_Lazio.html
91|53. Rec23 Restaurant Emporio Club|979|40|/Restaurant_Review-g187791-d2479482-Reviews-Rec23_Restaurant_Emporio_Club-Rome_Lazio.html
91|54. Oasi della Birra - Enoteca Palombi|528|35|/Restaurant_Review-g187791-d1061648-Reviews-Oasi_della_Birra_Enoteca_Palombi-Rome_Lazio.html
91|55. Flavio Al Velavevodetto|3691|40|/Restaurant_Review-g187791-d1878559-Reviews-Flavio_Al_Velavevodetto-Rome_Lazio.html
91|56. Gazometro38|608|40|/Restaurant_Review-g187791-d8026506-Reviews-Gazometro38-Rome_Lazio.html
91|57. Cacio e Cocci|366|40|/Restaurant_Review-g187791-d2318398-Reviews-Cacio_e_Cocci-Rome_Lazio.html
91|58. Crochon Noel Joseph|41|50|/Restaurant_Review-g187791-d6418072-Reviews-Crochon_Noel_Joseph-Rome_Lazio.html
91|59. Oishi Restaurant|1136|40|/Restaurant_Review-g187791-d5770644-Reviews-Oishi_Restaurant-Rome_Lazio.html
91|60. Il Piccolo Alpino|113|40|/Restaurant_Review-g187791-d3343172-Reviews-Il_Piccolo_Alpino-Rome_Lazio.html
91|Florian’s|597|35|/Restaurant_Review-g187791-d2648265-Reviews-Florian_s-Rome_Lazio.html
91|61. Da Oio a Casa Mia|1268|35|/Restaurant_Review-g187791-d812379-Reviews-Da_Oio_a_Casa_Mia-Rome_Lazio.html
91|62. Banco Fast Food|206|40|/Restaurant_Review-g187791-d8116314-Reviews-Banco_Fast_Food-Rome_Lazio.html
91|63. Porto Fluviale|3724|35|/Restaurant_Review-g187791-d3684994-Reviews-Porto_Fluviale-Rome_Lazio.html
91|64. Ketumbar|863|35|/Restaurant_Review-g187791-d793200-Reviews-Ketumbar-Rome_Lazio.html
91|65. Giansanti|104|40|/Restaurant_Review-g187791-d2533796-Reviews-Giansanti-Rome_Lazio.html
91|66. The Meat Market Testaccio|102|40|/Restaurant_Review-g187791-d14946519-Reviews-The_Meat_Market_Testaccio-Rome_Lazio.html
91|67. Alice Pizza Testaccio|135|40|/Restaurant_Review-g187791-d7306754-Reviews-Alice_Pizza_Via_Marmorata-Rome_Lazio.html
91|68. Il Pizzettiere|54|45|/Restaurant_Review-g187791-d3599767-Reviews-Il_Pizzettiere-Rome_Lazio.html
91|69. Conte dei Cocci|131|40|/Restaurant_Review-g187791-d8750286-Reviews-Conte_dei_Cocci-Rome_Lazio.html
91|70. La Torricella|332|35|/Restaurant_Review-g187791-d2206908-Reviews-La_Torricella-Rome_Lazio.html
91|71. Pasticceria Zio|28|50|/Restaurant_Review-g187791-d6772191-Reviews-Pasticceria_Zio-Rome_Lazio.html
91|72. La Creperie Di Testaccio|136|40|/Restaurant_Review-g187791-d3378147-Reviews-La_Creperie_Di_Testaccio-Rome_Lazio.html
91|73. Blue Ice Gelato|38|45|/Restaurant_Review-g187791-d11644274-Reviews-Blue_Ice_Gelato-Rome_Lazio.html
91|74. Pasta e Spätzle|18|50|/Restaurant_Review-g187791-d14896340-Reviews-Pasta_e_Spatzle-Rome_Lazio.html
91|75. La Dogana Food|1470|35|/Restaurant_Review-g187791-d6103968-Reviews-La_Dogana_Food-Rome_Lazio.html
91|76. Capitan Paninok Sapori e Tradizioni Regionali|74|45|/Restaurant_Review-g187791-d1080990-Reviews-Capitan_Paninok_Sapori_e_Tradizioni_Regionali-Rome_Lazio.html
91|77. FoodBox|37|45|/Restaurant_Review-g187791-d9721667-Reviews-FoodBox-Rome_Lazio.html
91|78. Chihana Sushi Restaurant|80|40|/Restaurant_Review-g187791-d13138468-Reviews-Chihana_Sushi_Restaurant-Rome_Lazio.html
91|79. Cake Si Gira|34|50|/Restaurant_Review-g187791-d8003021-Reviews-Cake_Si_Gira-Rome_Lazio.html
91|80. Il Gianfornaio|141|35|/Restaurant_Review-g187791-d9771198-Reviews-Il_Gianfornaio-Rome_Lazio.html
91|81. Angelina Cafe'|106|40|/Restaurant_Review-g187791-d13976831-Reviews-Angelina_Restaurant-Rome_Lazio.html
91|82. Pizzeria Rosticceria Ostiense 10|36|40|/Restaurant_Review-g187791-d6897873-Reviews-Pizzeria_Rosticceria_Ostiense_10-Rome_Lazio.html
91|83. Fraschetta da Sandro|16|50|/Restaurant_Review-g187791-d3456353-Reviews-Fraschetta_da_Sandro-Rome_Lazio.html
91|84. La Baguetteria Ostiense|22|45|/Restaurant_Review-g187791-d9776547-Reviews-La_Baguetteria-Rome_Lazio.html
91|85. Angelina a Testaccio|1989|35|/Restaurant_Review-g187791-d1968652-Reviews-Angelina_a_Testaccio-Rome_Lazio.html
91|86. Zoé Mercato Testaccio|33|45|/Restaurant_Review-g187791-d7891712-Reviews-Zoe_Mercato_Testaccio-Rome_Lazio.html
91|87. In Cibo Veritas|22|50|/Restaurant_Review-g187791-d7607488-Reviews-In_Cibo_Veritas-Rome_Lazio.html
91|88. Pachino Monello|18|50|/Restaurant_Review-g187791-d8638207-Reviews-Pachino_Monello-Rome_Lazio.html
91|89. Ave Pinsa|22|45|/Restaurant_Review-g187791-d8079767-Reviews-Ave_Pinsa-Rome_Lazio.html
91|90. Banco 21|16|45|/Restaurant_Review-g187791-d13662796-Reviews-Banco_21-Rome_Lazio.html
91|Viavai bar bistrot|49|40|/Restaurant_Review-g187791-d12694928-Reviews-Via_Vai_Bar_Bistrot-Rome_Lazio.html
91|91. Trentatré testaccio|211|35|/Restaurant_Review-g187791-d3589944-Reviews-Trentatre_testaccio-Rome_Lazio.html
91|92. Strit Fud|49|40|/Restaurant_Review-g187791-d8286079-Reviews-Strit_Fud-Rome_Lazio.html
91|93. L'insalata Ricca - Gazometro|204|35|/Restaurant_Review-g187791-d2182622-Reviews-L_insalata_Ricca_Gazometro-Rome_Lazio.html
91|94. Riso Roma|680|35|/Restaurant_Review-g187791-d7145751-Reviews-Riso-Rome_Lazio.html
91|95. Think Farmer|17|45|/Restaurant_Review-g187791-d10261733-Reviews-Think_Farmer-Rome_Lazio.html
91|96. 900|19|40|/Restaurant_Review-g187791-d8340819-Reviews-900-Rome_Lazio.html
91|97. Roadhouse Grill|377|35|/Restaurant_Review-g187791-d3840127-Reviews-Roadhouse_Grill-Rome_Lazio.html
91|98. Dolce Sicilia|15|45|/Restaurant_Review-g187791-d12955427-Reviews-Dolce_Sicilia-Rome_Lazio.html
91|99. Panificio i Guerrini|12|45|/Restaurant_Review-g187791-d4844895-Reviews-Panificio_i_Guerrini-Rome_Lazio.html
91|100. Charro Cafe|247|35|/Restaurant_Review-g187791-d795649-Reviews-Charro_Cafe-Rome_Lazio.html
91|101. Cimaglia Silvana|12|45|/Restaurant_Review-g187791-d6931474-Reviews-Cimaglia_Silvana-Rome_Lazio.html
91|102. Yoshi|542|35|/Restaurant_Review-g187791-d1504804-Reviews-Yoshi_Restaurant-Rome_Lazio.html
91|103. Moonlight Cafe|20|40|/Restaurant_Review-g187791-d7267355-Reviews-Moonlight_Cafe-Rome_Lazio.html
91|104. PURO - Street Food From Puglia|21|45|/Restaurant_Review-g187791-d13163540-Reviews-PURO_Street_Food_From_Puglia-Rome_Lazio.html
91|105. Da Severino|49|35|/Restaurant_Review-g187791-d3984203-Reviews-Da_Severino-Rome_Lazio.html
91|106. Il Seme e la Foglia|25|40|/Restaurant_Review-g187791-d5826802-Reviews-Il_Seme_e_la_Foglia-Rome_Lazio.html
91|107. Farinando|26|40|/Restaurant_Review-g187791-d7720939-Reviews-Farinando-Rome_Lazio.html
91|108. Certe Notti a Testaccio|11|45|/Restaurant_Review-g187791-d4449936-Reviews-Certe_Notti_a_Testaccio-Rome_Lazio.html
91|109. Vegan Store|20|50|/Restaurant_Review-g187791-d8535499-Reviews-Vegan_Store-Rome_Lazio.html
91|110. BurBaCa|34|35|/Restaurant_Review-g187791-d12211469-Reviews-BurBaCa-Rome_Lazio.html
91|111. Pizzeria Via Amerigo Vespucci Roma|8|45|/Restaurant_Review-g187791-d3977981-Reviews-Pizzeria_Via_Amerigo_Vespucci_Roma-Rome_Lazio.html
91|112. Capitan Cono Gelateria|5|45|/Restaurant_Review-g187791-d15143346-Reviews-Capitan_Cono_Gelateria-Rome_Lazio.html
91|113. Your Sushi|25|35|/Restaurant_Review-g187791-d12321820-Reviews-Your_Sushi-Rome_Lazio.html
91|114. Burger King|24|35|/Restaurant_Review-g187791-d11312778-Reviews-Burger_King-Rome_Lazio.html
91|115. Norcineria Sergio|6|50|/Restaurant_Review-g187791-d4326268-Reviews-Norcineria_Sergio-Rome_Lazio.html
91|116. Conte Staccio|71|35|/Restaurant_Review-g187791-d3589869-Reviews-Conte_Staccio-Rome_Lazio.html
91|117. Bebop Music Club|11|40|/Restaurant_Review-g187791-d2552553-Reviews-Bebop_Music_Club-Rome_Lazio.html
91|118. Los Cabos APS Las Calaveras|5|45|/Restaurant_Review-g187791-d15020470-Reviews-Los_Cabos_APS_Las_Calaveras-Rome_Lazio.html
91|119. Testaccino|8|40|/Restaurant_Review-g187791-d13417765-Reviews-Testaccino-Rome_Lazio.html
91|120. Osteria Pizzeria|4|45|/Restaurant_Review-g187791-d7616150-Reviews-Osteria_Pizzeria-Rome_Lazio.html
91|Dar Bruttone (Roma San Giovanni)|1105|45|/Restaurant_Review-g187791-d1164091-Reviews-Dar_Bruttone_Roma_San_Giovanni-Rome_Lazio.html
91|121. Foodie Freshmarket|4|40|/Restaurant_Review-g187791-d13480868-Reviews-Foodie_Freshmarket-Rome_Lazio.html
91|122. I tre porcellini snc|4|50|/Restaurant_Review-g187791-d7269703-Reviews-I_tre_porcellini_snc-Rome_Lazio.html
91|123. La Farandula|7|40|/Restaurant_Review-g187791-d7607935-Reviews-La_Farandula-Rome_Lazio.html
91|124. Companatico|2|50|/Restaurant_Review-g187791-d11905536-Reviews-Companatico-Rome_Lazio.html
91|125. Spago|8|40|/Restaurant_Review-g187791-d716408-Reviews-Spago-Rome_Lazio.html
91|126. Bucolica|3|40|/Restaurant_Review-g187791-d12993843-Reviews-Bucolica-Rome_Lazio.html
91|127. La Cirioletta Ignorante|5|40|/Restaurant_Review-g187791-d7210204-Reviews-La_Cirioletta_Ignorante-Rome_Lazio.html
91|128. Santa Clarita Tacos y Sushi|10|45|/Restaurant_Review-g187791-d14922276-Reviews-Santa_Clarita_Tacos_y_Sushi-Rome_Lazio.html
91|129. Mastro Titta Pub|134|30|/Restaurant_Review-g187791-d3607463-Reviews-Mastro_Titta_Pub-Rome_Lazio.html
91|130. Fior di Farina Pizza Shop|1|50|/Restaurant_Review-g187791-d13199541-Reviews-Fior_di_Farina_Pizza_Shop-Rome_Lazio.html
91|131. Pasticceria Benedetto|5|35|/Restaurant_Review-g187791-d15242044-Reviews-Pasticceria_Benedetto-Rome_Lazio.html
91|132. PLANET Roma|1|50|/Restaurant_Review-g187791-d5267530-Reviews-PLANET_Roma-Rome_Lazio.html
91|133. Slot House Europa|4|40|/Restaurant_Review-g187791-d1592248-Reviews-Slot_House_Europa-Rome_Lazio.html
91|134. Snack Bar|1|40|/Restaurant_Review-g187791-d14940063-Reviews-Snack_Bar-Rome_Lazio.html
91|135. Palladiana|1|40|/Restaurant_Review-g187791-d4580551-Reviews-Palladiana-Rome_Lazio.html
91|136. Cotto e Mandato|19|30|/Restaurant_Review-g187791-d5853788-Reviews-Cotto_e_Mandato-Rome_Lazio.html
91|137. Shake|4|30|/Restaurant_Review-g187791-d11888492-Reviews-Shake-Rome_Lazio.html
91|138. Violarosso|17|30|/Restaurant_Review-g187791-d5264420-Reviews-Violarosso-Rome_Lazio.html
91|139. On The Burger|1|30|/Restaurant_Review-g187791-d12434024-Reviews-On_The_Burger-Rome_Lazio.html
91|140. Slurp Gelateria|29|30|/Restaurant_Review-g187791-d4794438-Reviews-Slurp_Gelateria-Rome_Lazio.html
91|141. Sushi Ping|6|45|/Restaurant_Review-g187791-d7722911-Reviews-Sushi_Ping-Rome_Lazio.html
91|142. Cafe Boario|13|30|/Restaurant_Review-g187791-d4405227-Reviews-Cafe_Boario-Rome_Lazio.html
91|143. La Botticella|12|30|/Restaurant_Review-g187791-d4914914-Reviews-La_Botticella-Rome_Lazio.html
91|144. Mamma Roma|8|25|/Restaurant_Review-g187791-d8291231-Reviews-Mamma_Roma-Rome_Lazio.html
91|145. Ristorante Galu|63|25|/Restaurant_Review-g187791-d2224139-Reviews-Ristorante_Galu-Rome_Lazio.html
91|146. Ristorante alla Maison Latina|19|20|/Restaurant_Review-g187791-d12834508-Reviews-Ristorante_alla_Maison_Latina-Rome_Lazio.html
91|147. Rist'Oria|19|20|/Restaurant_Review-g187791-d1034651-Reviews-Rist_Oria-Rome_Lazio.html
91|148. Letico - Osteria con Cucina|19|20|/Restaurant_Review-g187791-d1010895-Reviews-Letico_Osteria_con_Cucina-Rome_Lazio.html
91|149. Ex-Magazzini|19|20|/Restaurant_Review-g187791-d696552-Reviews-Ex_Magazzini-Rome_Lazio.html
91|150. DOC|19|20|/Restaurant_Review-g187791-d788132-Reviews-DOC-Rome_Lazio.html
91|VII Coorte|2076|45|/Restaurant_Review-g187791-d5858490-Reviews-VII_Coorte-Rome_Lazio.html
91|151. ilpiccolochef|2076|45|/Restaurant_Review-g187791-d3343442-Reviews-Ilpiccolochef-Rome_Lazio.html
91|152. Cantina Paradiso srl|2076|45|/Restaurant_Review-g187791-d3544528-Reviews-Cantina_Paradiso_srl-Rome_Lazio.html
91|153. Trattoria Turiddo|2076|45|/Restaurant_Review-g187791-d1034668-Reviews-Trattoria_Turiddo-Rome_Lazio.html
91|154. L'Eglise|2076|45|/Restaurant_Review-g187791-d1034613-Reviews-L_Eglise-Rome_Lazio.html
